AirBnB_Listings_Table_NYC
Borough_ID,Borough,Price,Min_Number_Nights_Booked,Total_Reviews,Reviews_Per_Month,Number_of_Listings,Annual_Availability_(Days)
1,Bronx,50,1,2,2,1,169
1,Bronx,125,3,21,0.77,1,363
1,Bronx,100,3,0,,1,90
1,Bronx,300,7,0,,1,365
1,Bronx,69,3,94,3.27,1,325
1,Bronx,150,2,3,1.58,1,74
1,Bronx,101,1,31,1.49,1,179
1,Bronx,100,1,0,,1,364
1,Bronx,200,7,0,,1,180
1,Bronx,125,2,60,2.78,1,137
1,Bronx,115,3,49,1.09,1,0
1,Bronx,62,2,9,3.7,1,79
1,Bronx,85,1,110,5.88,1,332
1,Bronx,44,2,72,1.82,4,339
1,Bronx,47,2,35,0.98,4,130
1,Bronx,39,2,131,2.17,5,354
1,Bronx,49,3,1,0.24,1,0
1,Bronx,85,5,33,0.56,4,337
1,Bronx,50,1,5,0.36,1,0
1,Bronx,105,3,27,1.56,3,47
1,Bronx,45,2,9,0.56,1,360
1,Bronx,70,7,5,0.33,1,364
1,Bronx,65,3,0,,1,180
1,Bronx,90,3,1,0.08,2,365
1,Bronx,63,2,23,0.93,3,66
1,Bronx,125,2,224,3.02,4,330
1,Bronx,110,3,22,3.73,3,170
1,Bronx,200,1,38,1.19,3,351
1,Bronx,38,2,93,1.59,5,327
1,Bronx,49,2,108,1.8,5,293
1,Bronx,43,2,66,1.77,4,276
1,Bronx,35,2,8,0.36,2,365
1,Bronx,85,2,4,0.13,4,337
1,Bronx,44,2,75,2.33,4,339
1,Bronx,109,2,5,4.05,1,122
1,Bronx,50,1,7,0.17,1,59
1,Bronx,70,2,27,3.54,1,115
1,Bronx,35,3,42,0.97,1,355
1,Bronx,45,2,6,0.34,1,0
1,Bronx,28,2,38,1.54,1,345
1,Bronx,65,2,7,1.19,1,179
1,Bronx,50,1,0,,1,69
1,Bronx,70,1,1,1,2,171
1,Bronx,51,2,8,2.2,2,86
1,Bronx,55,2,0,,1,0
1,Bronx,50,3,5,0.68,5,331
1,Bronx,40,7,15,0.93,2,259
1,Bronx,35,3,2,0.14,1,0
1,Bronx,34,1,2,0.12,1,0
1,Bronx,70,1,4,3.24,2,362
1,Bronx,32,7,0,,1,364
1,Bronx,130,1,0,,1,365
1,Bronx,60,3,27,3.38,5,343
1,Bronx,75,3,16,3.08,5,350
1,Bronx,40,2,0,,1,365
1,Bronx,40,1,17,1.73,1,81
1,Bronx,80,3,18,3.83,5,355
1,Bronx,140,2,7,0.67,1,358
1,Bronx,55,3,26,2.82,5,339
1,Bronx,150,1,1,1,1,365
1,Bronx,60,1,56,3.7,1,360
1,Bronx,37,3,1,1,2,77
1,Bronx,62,2,86,1.93,1,65
1,Bronx,80,3,27,3.86,5,357
1,Bronx,65,3,25,2.96,5,359
1,Bronx,65,1,9,0.62,1,0
1,Bronx,50,3,14,1.52,5,355
1,Bronx,65,1,0,,1,0
1,Bronx,45,3,1,0.15,2,77
1,Bronx,42,1,1,0.35,1,30
1,Bronx,100,1,17,,1,365
1,Bronx,60,3,25,3.52,5,352
1,Bronx,65,4,8,1.86,2,312
1,Bronx,85,3,108,5.43,2,78
1,Bronx,75,1,3,0.55,1,365
1,Bronx,29,1,0,,1,0
1,Bronx,29,4,4,0.71,1,0
1,Bronx,80,1,5,2.24,1,276
1,Bronx,75,2,1,0.67,1,0
1,Bronx,65,1,36,1.44,2,363
1,Bronx,70,7,0,,1,0
1,Bronx,110,1,0,,1,0
1,Bronx,39,10,0,,1,60
1,Bronx,35,1,0,,2,342
1,Bronx,56,1,2,1.76,3,0
1,Bronx,75,2,44,1.13,1,303
1,Bronx,80,7,0,,2,0
1,Bronx,70,2,21,3.33,1,340
1,Bronx,70,2,20,0.93,1,26
1,Bronx,41,2,4,0.74,3,328
1,Bronx,100,2,53,4.6,1,107
1,Bronx,45,2,6,0.39,1,0
1,Bronx,155,4,49,2.71,1,273
1,Bronx,100,2,10,1.09,1,265
1,Bronx,56,1,203,5.43,1,305
1,Bronx,60,3,0,,1,364
1,Bronx,115,2,10,0.81,1,0
1,Bronx,42,2,17,3.49,3,332
1,Bronx,85,3,0,,1,355
1,Bronx,95,3,17,0.34,1,308
1,Bronx,300,1,0,,1,180
1,Bronx,40,1,14,8.4,1,255
1,Bronx,100,2,34,1.25,2,300
1,Bronx,125,3,76,4.21,1,322
1,Bronx,119,1,7,3.23,1,132
1,Bronx,180,7,1,0.03,1,358
1,Bronx,65,45,5,0.19,1,0
1,Bronx,65,4,50,1.95,2,119
1,Bronx,46,2,25,1.65,3,295
1,Bronx,65,3,1,0.05,1,275
1,Bronx,70,1,0,,1,61
1,Bronx,60,1,4,0.26,4,180
1,Bronx,49,1,19,0.3,1,282
1,Bronx,60,1,12,0.46,4,180
1,Bronx,45,1,0,,1,0
1,Bronx,60,1,2,0.16,4,180
1,Bronx,44,1,2,0.87,1,0
1,Bronx,46,1,204,5.35,3,275
1,Bronx,60,1,3,1.7,4,180
1,Bronx,65,4,45,1.67,2,148
1,Bronx,100,3,17,3.54,1,141
1,Bronx,451,1,0,,1,365
1,Bronx,79,2,11,0.29,1,0
1,Bronx,52,2,119,2.31,1,309
1,Bronx,100,2,20,1.11,1,274
1,Bronx,101,1,1,1,1,364
1,Bronx,100,3,2,2,2,0
1,Bronx,100,1,10,0.4,1,31
1,Bronx,41,1,151,4.09,3,0
1,Bronx,44,2,28,1.51,3,328
1,Bronx,42,2,10,2.07,3,331
1,Bronx,44,2,35,1.98,3,329
1,Bronx,90,2,0,,1,0
1,Bronx,45,5,14,0.49,1,0
1,Bronx,300,7,0,,1,365
1,Bronx,30,1,11,0.87,1,215
1,Bronx,76,1,12,0.99,1,0
1,Bronx,80,7,0,,1,0
1,Bronx,30,2,44,2.37,1,200
1,Bronx,53,1,47,4.13,1,343
1,Bronx,45,1,4,2.61,1,340
1,Bronx,100,2,4,4,1,230
1,Bronx,80,1,0,,1,64
1,Bronx,43,4,10,0.85,1,0
1,Bronx,45,1,17,6.22,1,65
1,Bronx,100,3,0,,1,173
1,Bronx,48,2,29,2.42,2,332
1,Bronx,45,1,1,1,2,245
1,Bronx,80,1,1,0.03,1,0
1,Bronx,35,1,2,2,1,308
1,Bronx,78,1,77,6.53,2,349
1,Bronx,78,1,82,5.13,2,339
1,Bronx,48,2,10,1.08,2,247
1,Bronx,55,1,0,,2,347
1,Bronx,85,2,36,3.69,1,311
1,Bronx,300,1,0,,1,0
1,Bronx,70,3,5,3.95,2,79
1,Bronx,65,2,32,5.19,2,306
1,Bronx,130,1,9,1.36,1,88
1,Bronx,45,1,5,0.44,1,323
1,Bronx,50,26,2,0.11,1,90
1,Bronx,40,4,0,,1,364
1,Bronx,47,15,2,0.15,2,97
1,Bronx,90,2,17,3.17,2,304
1,Bronx,84,2,0,,1,0
1,Bronx,45,2,24,7.58,2,325
1,Bronx,80,3,0,,1,179
1,Bronx,50,1,0,,1,0
1,Bronx,30,1,4,2.86,1,314
1,Bronx,70,1,0,,2,338
1,Bronx,60,3,0,,2,75
1,Bronx,44,4,35,0.82,1,330
1,Bronx,80,2,0,,1,0
1,Bronx,80,1,1,1,1,20
1,Bronx,45,2,0,,2,0
1,Bronx,39,14,1,0.46,13,31
1,Bronx,17,1,4,4,3,63
1,Bronx,35,7,0,,3,334
1,Bronx,95,2,27,1.1,1,286
1,Bronx,49,14,9,0.78,13,311
1,Bronx,19,1,3,3,3,63
1,Bronx,350,2,0,,1,0
1,Bronx,45,1,9,0.54,1,0
1,Bronx,145,2,4,0.12,5,352
1,Bronx,30,1,9,1.38,1,65
1,Bronx,59,14,23,1.86,13,290
1,Bronx,59,14,1,0.09,13,336
1,Bronx,110,2,42,1.49,1,296
1,Bronx,90,2,0,,5,353
1,Bronx,50,1,0,,1,0
1,Bronx,31,2,0,,2,0
1,Bronx,35,1,4,0.13,5,364
1,Bronx,59,14,16,1.22,13,301
1,Bronx,59,14,2,1.07,13,336
1,Bronx,52,1,1,0.03,1,365
