,City_name,Name,Review,Service_name,Type
0,STATEN%20ISLAND,Craft House,4.5,restaurants," Bars, Barbeque "
1,STATEN%20ISLAND,Corner House BBQ,4.0,restaurants," Barbeque, Cocktail Bars "
2,STATEN%20ISLAND,Beso,4.0,restaurants," Spanish, Tapas Bars, Bars "
3,STATEN%20ISLAND,Incas Grill Peruvian kitchen,4.0,restaurants, Peruvian 
4,STATEN%20ISLAND,Hook & Reel,4.0,restaurants," Cajun/Creole, Seafood "
5,STATEN%20ISLAND,Lakruwana,4.5,restaurants, Sri Lankan 
6,STATEN%20ISLAND,Violette’s Cellar,4.0,restaurants," Breakfast & Brunch, Tapas/Small Plates, Speakeasies "
7,STATEN%20ISLAND,The Hop Shoppe,4.0,restaurants," Gastropubs, American (Traditional), Sports Bars "
8,STATEN%20ISLAND,West Shore Inn Steakhouse,4.0,restaurants," Steakhouses, Seafood, American (Traditional) "
9,STATEN%20ISLAND,Harvest Cafe,4.5,restaurants, Cafes 
10,STATEN%20ISLAND,Surf,4.0,restaurants," American (New), Cocktail Bars, Wine Bars "
11,STATEN%20ISLAND,Marmar,4.5,restaurants," Mediterranean, Syrian "
12,STATEN%20ISLAND,Bayou,4.0,restaurants," Cajun/Creole, Southern, Diners "
13,STATEN%20ISLAND,Pho Mac Vietnamese Restaurant,4.0,restaurants, Vietnamese 
14,STATEN%20ISLAND,The Phunky Elephant,3.5,restaurants," American (New), Gastropubs, Cocktail Bars "
15,STATEN%20ISLAND,The Stone House at Clove Lakes,4.0,restaurants," Breakfast & Brunch, American (New), Venues & Event Spaces "
16,STATEN%20ISLAND,Nurnberger Bierhaus,4.5,restaurants," German, Bars "
17,STATEN%20ISLAND,Blue,4.0,restaurants," Mediterranean, Seafood, Asian Fusion "
18,STATEN%20ISLAND,Shake Shack,4.0,restaurants," Burgers, Fast Food, Hot Dogs "
19,STATEN%20ISLAND,Thali Bar Baar,5.0,restaurants," Indian, Himalayan/Nepalese "
20,STATEN%20ISLAND,Panino Rustico - Staten Island,4.5,restaurants," Creperies, Sandwiches, Italian "
21,STATEN%20ISLAND,Richmond Republic,4.0,restaurants," American (Traditional), Gastropubs "
22,STATEN%20ISLAND,Lee’s Tavern,4.0,restaurants," Pizza, Pubs "
23,STATEN%20ISLAND,Enoteca Maria,4.0,restaurants, Italian 
24,STATEN%20ISLAND,Phil-Am Kusina,4.5,restaurants, Filipino 
25,STATEN%20ISLAND,Bin 5,4.5,restaurants," Italian, Cocktail Bars "
26,STATEN%20ISLAND,Coles Dockside Restaurant,4.0,restaurants," Seafood, Salad, Sandwiches "
27,STATEN%20ISLAND,Taqueria El Gallo Azteca,4.5,restaurants, Mexican 
28,STATEN%20ISLAND,Shishito,4.5,restaurants," Ramen, Sushi Bars "
