listing_id,name,host_id,host_name,Boroughs,neighbourhood,price,number_of_reviews,last_review,reviews_per_month,availability_365,Boroughs_ID
20702398,Quiet house on City Island,1457680,James,Bronx,City Island,50,2,10/1/2017,2.0,169,2.0
6627449,Large 1 BDRM in Great location,13886510,Arlene,Bronx,City Island,125,21,9/26/2017,0.77,363,2.0
5557381,Quaint City Island Home,28811542,Phoebe,Bronx,City Island,69,94,7/31/2017,3.27,325,2.0
19609887,Sweet Getaway,137892083,Gladis,Bronx,City Island,150,3,9/24/2017,1.58,74,2.0
7949480,City Island Sanctuary BR & Private Bath w Parking,119445,Linda & Didier,Bronx,City Island,101,31,9/1/2017,1.49,179,2.0
9147025,Cozy City Island Cottage,403032,Diane,Bronx,City Island,125,60,10/1/2017,2.78,137,2.0
1936633,Great 1BD waterfront City Island NY,10018391,Alex,Bronx,City Island,115,49,5/23/2017,1.09,0,2.0
19758402,Autumn getaway -House near beach & woodland trails,139415761,Deb,Bronx,City Island,62,9,9/25/2017,3.7,79,2.0
11675715,Cozy 1 BR Basement Apartment,56714504,Josue,Bronx,City Island,85,110,9/11/2017,5.88,332,2.0
3400359,Awesome Deal NYC,16286162,Pat,Bronx,Allerton,44,72,9/21/2017,1.82,339,2.0
4407790,Retreat Room,16286162,Pat,Bronx,Allerton,47,35,5/5/2017,0.98,130,2.0
715270,2 Beds/Queen & Full Beautiful Room 40 minsT.Square,3684360,Enrique,Bronx,Allerton,39,131,9/15/2017,2.17,354,2.0
18852048,"Clean, spacious and comfortable room at Bronx",108922928,Zeeshan,Bronx,Allerton,49,1,6/1/2017,0.24,0,2.0
759901,GREAT PRICE for GREAT GUESTS ONLY,873273,Christian & Carla,Bronx,Allerton,85,33,3/31/2017,0.56,337,2.0
13864221,"Live, Love, Stay in the Bronx!",3213737,Vernise,Bronx,Allerton,50,5,9/27/2016,0.36,0,2.0
12496118,Entire Home in NYC- 1 bedroom,11305944,Yahaira,Bronx,Allerton,105,27,9/16/2017,1.56,47,2.0
13109017,Large Private Room! w. Lock,72871708,Sammy,Bronx,Allerton,45,9,9/24/2017,0.56,360,2.0
9513511,"Beautiful, spacious & sunny bedroom!",49293611,Gloria,Bronx,Allerton,70,5,9/29/2017,0.33,364,2.0
10801360,Studio near BX Botanical Garden,4149899,Salam,Bronx,Allerton,90,1,9/7/2016,0.08,365,2.0
8294259,Room in Private House(Queen Bed) by Montefiore-NYC,11305944,Yahaira,Bronx,Allerton,63,23,9/2/2017,0.93,66,2.0
